"","Longitude","Latitude","Field","Dataset","Product","ObjId","Heading","Distance","Elevation","Desc","Swath","Moisture","YldMassDry","YldVolWet","YldVolDry","Yield","DateTime","Seconds","Easting","Northing","Rank","Quantile","Percent","Pass","Pair","PassNo"
"3284",-96.88275561,43.45220016,"East Quarter","East Quarter Corn 2015","B","3248",90.13,4.029,1473,"10/12/2015 2:07:41 PM",20,17.54,25.85,25.71,249.56,249.56,NA,NA,0.667581177736423,141.47575116525,37413.5,0.968935332659985,134.092740852184,"24","12",24
"3285",-96.88274057,43.45220014,"East Quarter","East Quarter Corn 2015","B","3249",89.5,3.996,1473.1,"10/12/2015 2:07:42 PM",20,17.54,25.01,24.87,243.41,243.41,NA,NA,2.10810067800494,141.473533955612,36858,0.954548986092767,130.788243511902,"24","12",24
"3286",-96.88272556,43.45220003,"East Quarter","East Quarter Corn 2015","B","3250",90.45,3.996,1473.1,"10/12/2015 2:07:43 PM",20,17.41,24.52,24.34,238.61,238.61,NA,NA,3.54574680069393,141.461339299056,36200,0.937508093129257,128.209123636559,"24","12",24
"3287",-96.88271098,43.45219999,"East Quarter","East Quarter Corn 2015","B","3251",90.35,3.898,1473,"10/12/2015 2:07:44 PM",20,17.54,24.61,24.47,245.57,245.57,NA,NA,4.94220785790043,141.456904878203,37086.5,0.960466682205475,131.948847455806,"24","12",24
"3288",-96.88269592,43.4521998,"East Quarter","East Quarter Corn 2015","B","3252",90.18,3.996,1473,"10/12/2015 2:07:45 PM",20,17.54,23.86,23.72,232.19,232.19,NA,NA,6.38464294140715,141.435841381518,35135,0.909926708621449,124.759550803288,"24","12",24
"3289",-96.88268085,43.4521999,"East Quarter","East Quarter Corn 2015","B","3253",89.79,3.996,1473,"10/12/2015 2:07:46 PM",20,17.54,21.82,21.69,212.34,212.34,NA,NA,7.82803581789409,141.446927432073,29593,0.766399917126356,114.093815485466,"24","12",24
"3290",-96.88266565,43.45219977,"East Quarter","East Quarter Corn 2015","B","3254",89.89,4.029,1473,"10/12/2015 2:07:47 PM",20,17.54,24.04,23.9,232.01,232.01,NA,NA,9.28387999223492,141.432515565879,35086.5,0.908670654960764,124.662833807963,"24","12",24
"3291",-96.88265071,43.45219983,"East Quarter","East Quarter Corn 2015","B","3255",89.82,3.964,1473,"10/12/2015 2:07:48 PM",20,17.54,24.99,24.85,245.21,245.21,NA,NA,10.714821570868,141.43916719637,37045,0.959391914640147,131.755413465155,"24","12",24
"3292",-96.88263557,43.45219983,"East Quarter","East Quarter Corn 2015","B","3256",89.75,4.029,1473,"10/12/2015 2:07:49 PM",20,17.54,25.01,24.87,241.43,241.43,NA,NA,12.1649189914108,141.43916719637,36621,0.948411156864268,129.724356563323,"24","12",24
"3293",-96.88262065,43.45219991,"East Quarter","East Quarter Corn 2015","B","3257",89.14,3.964,1472.9,"10/12/2015 2:07:50 PM",20,17.54,23.53,23.39,230.85,230.85,NA,NA,13.5939449840835,141.448036037286,34860.5,0.902817703882112,124.039546504755,"24","12",24
"3294",-96.88260557,43.45219968,"East Quarter","East Quarter Corn 2015","B","3258",90.46,3.996,1472.9,"10/12/2015 2:07:51 PM",20,17.54,21,20.88,204.35,204.35,NA,NA,15.0382956535506,141.422538119749,26571,0.688136119959599,109.800655526302,"24","12",24
"3295",-96.88259053,43.45219974,"East Quarter","East Quarter Corn 2015","B","3259",90.64,3.996,1472.8,"10/12/2015 2:07:52 PM",20,17.54,24.17,24.03,235.21,235.21,NA,NA,16.4788151524581,141.42918975024,35666.5,0.92369150286173,126.382247058191,"24","12",24
"3296",-96.88257561,43.45219957,"East Quarter","East Quarter Corn 2015","B","3260",90.54,3.964,1472.9,"10/12/2015 2:07:53 PM",20,17.54,21.51,21.38,211.05,211.05,NA,NA,17.9078411451307,141.410343463193,29103,0.753709890451402,113.400677018967,"24","12",24
